id,artist_name,real_name,gender,debut_year,nationality,birth_date,height,position,image_path,is_published,release_date
124,Huening Bahiyyih,Bahiyyih Jaleh Huening,Female,2022,"South Korean, American",2004-07-27,167,"Vocalist",/images/idols/bahiyyih.webp,1,2025-12-26
125,Youngeun,Seo Young-eun,Female,2022,South Korean,2004-12-27,158,"Main Vocalist, Dancer, Maknae",/images/idols/youngeun.webp,1,2025-12-26
126,Mashiro,Sakamoto Mashiro,Female,2022,Japanese,1999-12-16,158,"Co-Leader, Vocalist",/images/idols/mashiro.webp,1,2025-12-26
127,Yeseo,Kang Ye-seo,Female,2019,South Korean,2005-08-22,157,"Vocalist, Maknae",/images/idols/yeseo.webp,1,2025-12-26
128,Woni,Jeong Won-i,Female,2024,South Korean,2004-05-25,164,"Leader",/images/idols/woni.webp,1,2025-12-26
129,Liv,Jin Kyung-eun,Female,2024,South Korean,2006-10-11,165,"Vocalist, Dancer",/images/idols/liv.webp,1,2025-12-26
130,Minami,Ito Minami,Female,2024,Japanese,2006-11-29,164,"Main Vocalist, Lead Dancer",/images/idols/minami.webp,1,2025-12-26
131,May,Lee Ye-bin,Female,2024,South Korean,2008-08-19,165,"Vocalist, Lead Dancer",/images/idols/may.webp,1,2025-12-26
132,Zena,Kim Ga Young,Female,2024,South Korean,2008-11-27,164,"Visual, Center, Maknae",/images/idols/zena.webp,1,2025-12-26
133,Chungha,Kim Chan Mi,Female,2016,South Korean,1996-02-09,161,"Main Dancer, Lead Vocalist, Rapper",/images/idols/chungha.webp,1,2025-12-26
134,Hyolyn,Kim Hyo Jung,Female,2010,South Korean,1990-12-11,164,"Leader, Main Vocalist, Lead Dancer, Lead Rapper, FOTG",/images/idols/hyolyn.webp,1,2025-12-26
135,Bora,Yoon Bo Ra,Female,2010,South Korean,1989-12-30,165,"Main Rapper, Main Dancer, Vocalist, Visual",/images/idols/bora.webp,1,2025-12-26
136,Soyou,Kang Ji-hyun,Female,2010,South Korean,1991-09-12,168,"Lead Vocalist",/images/idols/soyou.webp,1,2025-12-26
137,Dasom,Kim Da-som,Female,2010,South Korean,1993-05-06,167,"Vocalist, Visual, Maknae",/images/idols/dasom.webp,1,2025-12-26
138,Seunghee,Oh Seung-hee,Female,2015,South Korean,1995-10-10,161,"Main Vocalist",/images/idols/seunghee.webp,1,2025-12-26
139,Eunbin,Kwon Eun-bin,Female,2016,South Korean,2000-01-06,171,"Sub-Vocalist, Sub-Rapper, FOTG, Maknae",/images/idols/eunbin.webp,1,2025-12-26
140,Sorn,Chonnasorn Sajakul,Female,2015,Thai,1996-11-18,160,"Lead Vocalist",/images/idols/sorn.webp,1,2025-12-26
141,Elkie,Chong Tingyan,Female,2016,Hong Kongese,1998-11-02,165,"Lead Vocalist, Lead Dancer, Visual",/images/idols/elkie.webp,1,2025-12-26
142,Seungyeon,Jang Seung-yeon,Female,2015,South Korean,1996-11-06,163,"Leader, Main Dancer, Lead Vocalist, Sub-Rapper",/images/idols/seungyeon.webp,1,2025-12-26
143,Yeeun,Jang Ye-eun,Female,2015,South Korean,1998-08-10,166,"Main Rapper, Sub-Vocalist",/images/idols/yeeun.webp,1,2025-12-26
144,Jo Yuri,Jo Yu-ri,Female,2018,South Korean,2001-10-22,163,"Main Vocalist, Center, Maknae",/images/idols/jo_yuri.webp,1,2025-12-26
145,Sowon,Kim So-jung,Female,2015,South Korean,1995-12-07,173,"Leader, Vocalist, Visual",/images/idols/sowon.webp,1,2025-12-26
146,Yerin,Jung Ye-rin,Female,2015,South Korean,1996-08-19,167,"Lead Dancer, Vocalist, Center, FOTG",/images/idols/yerin.webp,1,2025-12-26
147,Eunha,Jung Eun Bi,Female,2015,South Korean,1997-05-30,163,"Lead Vocalist",/images/idols/eunha.webp,1,2025-12-26
148,Yuju,Choi Yu-na,Female,2015,South Korean,1997-10-04,169,"Main Vocalist",/images/idols/yuju.webp,1,2025-12-26
149,SinB,Hwang Eun-bi,Female,2015,South Korean,1998-06-03,166,"Main Dancer, Vocalist, Center",/images/idols/sinb.webp,1,2025-12-26
150,Umji,Kim Ye Won,Female,2015,South Korean,1998-08-19,165,"Vocalist, Maknae",/images/idols/umji.webp,1,2025-12-26
151,Yena,Choi Yena,Female,2018,South Korean,1999-09-29,162,"Rapper, Vocalist, Dancer",/images/idols/yena.webp,1,2025-12-26
